R_S_G008_C015_UHD_SDR_2K_AVC	Y
S_yt-WCT9dyz0-gQ_36	Y
n01694178_9940	N
ILSVRC2012_test_00041371	N
R_S_yt-GWOOQZ19-oU_331	Y
n04209133_3393	N
n02100236_8680	N
n01667114_12296	N
S_production_ID_4153808	Y
n07717556_11398	N
R_S_yt-PvWkOmfZuSY_4	Y
n02687172_17631	N
n03871628_12731	N
R_S_ILSVRC2015_test_00012005	Y
S_yt-2IxVZeiSv3g_28	Y
n03127747_6054	N
n01667778_10136	N
S_yt-sZBe-xmTySc_8	N
S_yt-pO5SVq-9EhU_114	Y
R_S_yt-Gc1p5CnDbDY_22	Y
n07590611_18149	N
n06785654_6241	N
R_S_ILSVRC2015_train_00538000	Y
n01695060_5493	N
R_S_yt-8vm83GUgYxI_1	Y
S_yt-siUaw_L-hrw_116	N
ILSVRC2012_val_00009327	N
S_yt-6MAIu_hWEz0_56	N
S_yt-s2tZ2NIQrxg_175	Y
S_yt-11S5tcT2Tm0_254	Y
n03670208_7944	N
S_yt-316ecr1BT84_44	Y
S_yt-H3EadcgKySM_58	Y
n02444819_2454	N
n07932039_6815	N
n04118776_8799	N
R_S_ILSVRC2015_train_00185002	Y
S_1y-EvnfGO9Y_70	Y
S_video_inspire_uk_london_hampstead-heath_003	Y
S_ILSVRC2015_train_00538000	Y
R_S_yt-hvuC_2YXsTQ_73	Y
R_S_ILSVRC2015_train_00495000	Y
n02114855_37153	N
R_S_yt-BAQ3Xhm_PPE_23	Y
S_pexels-koolshooters-7327401	Y
n02124075_1818	N
n01924916_385	N
n13037406_5453	N
R_S_yt-5MyvZYFlc9g_125	Y
S_yt-giRwl4yChlw_9	Y
n03692522_12120	N
n13133613_30670	N
R_S_yt-VinOD6g7xEc_135	Y
R_S_yt-GfPep7IhZIU_47	Y
R_S_comp_C003_C003_PS_v01_SDR_PS_20180925_SDR_2K_AVC	Y
S_yt-6aqg1P9YqR8_38	Y
n04347754_70810	N
n01735189_6431	N
n03126707_32441	N
n01669191_11893	N
n03089624_71576	N
S_yt-hqp-Y6vAMeo_80	N
n02917067_9001	N
S_yt-wVMhACNFF-M_154	Y
n04037443_45810	N
n03967562_42424	N
S_yt-deiWoIfK6vg_44	Y
n12985857_4714	N
S_yt-7tLvK2IEwRM_4	N
R_S_comp_A351_C001_v06_SDR_PS_20180725_SDR_2K_AVC	Y
R_S_yt-ROhKDdF1gV4_21	Y
n09468604_8572	N
n04523525_3143	N
n03854065_10600	N
n09256479_671	N
R_S_pexels-rodnae-productions-5993671	Y
R_S_yt-QJ2k6vA8aco_12	Y
S_yt-M_ApPnq00iE_67	Y
R_S_yt-T7RmOAme5dU_213	Y
S_ILSVRC2015_train_00418000	N
S_yt-2ftSsLqRQnA_84	Y
n02125311_38939	N
R_S_yt-bH4nJibL4Jo_164	Y
n04037443_21912	N
n02174001_5336	N
S_yt-GWOOQZ19-oU_331	Y
n03529860_2779	N
n03733281_37639	N
R_S_yt-9yxWUrtQJnw_11	Y
n02487347_1261	N
R_S_wc-AyT9mzwZsu0T_14	Y
S_yt-vHS71x_O6sY_90	N
n03482405_6169	N
R_S_1y-EvnfGO9Y_70	Y
S_yt-EcOYbXulEpI_139	N
R_S_yt-11S5tcT2Tm0_254	Y
n03481172_7855	N
n02101556_5243	N
ILSVRC2012_test_00062032	N
n04613696_11624	N
n03794056_15065	N
S_yt-Dwgpjoikt84_122	Y
S_yt-GfPep7IhZIU_47	Y
n02879718_3621	N
n04347754_25240	N
R_S_ga8dBJH_qK8_765	Y
n02066245_10848	N
n04238763_7509	N
S_pexels-anthony-shkraba-production-8135459	Y
S_yt-uDDv9fXG64w_98	N
n04008634_10960	N
n03208938_21585	N
R_S_yt-Ol4xuEA8xQc_776	Y
S_yt-sC9suzTl1Y0_22	N
R_S_production_ID_5119260	Y
S_yt-yhHs1BmQp2Y_54	N
R_S_pexels-nkem-6237382	Y
S_yt-T1mMDOVjvrE_83	Y
S_ILSVRC2015_train_00708000	Y
R_S_yt-xqjVM0Vj4mI_161	Y
R_S_yt-2IxVZeiSv3g_28	Y
S_flickr-hapanine-31880782705_22	Y
S_ILSVRC2015_train_00654000	Y
S_yt-T7RmOAme5dU_213	Y
S_yt-Tt_LkR4iAt4_11	Y
S_yt-EBuE7GbFw7U_180	Y
R_S_yt-RNPFV7lgAvE_362	Y
ILSVRC2012_test_00028723	N
R_S_video	Y
n02115913_3618	N
R_S_yt-wVMhACNFF-M_154	Y
R_S_WO9z7lBUvOs_151	Y
R_S_yt-s2tZ2NIQrxg_175	Y
S_yt-8RmEimCI80g_35	Y
R_S_yt-eVAlSjH8E8k_127	Y
S_yt-xBwq6sHHF5M_21	Y
n03871628_14843	N
S_pexels-yaroslav-shuraev-8091356	Y
n01685808_6782	N
R_S_yt-lv6mhnH7_g4_134	Y
R_S_bing-www_nbcnews_com_storyline_isis-terror_fall-isis-stronghold-raqqa-will-change-war-extremists-not-end-n808621_86	Y
n09332890_2002	N
n07875152_1183	N
R_S_cST9H3zu3zQ_126	Y
S_bing-www_nbcnews_com_storyline_isis-terror_fall-isis-stronghold-raqqa-will-change-war-extremists-not-end-n808621_86	Y
n01692333_6133	N
n09468604_18775	N
S_yt-2IN85w8ptmM_51	Y
n13052670_10406	N
n02105056_4582	N
R_S_yt-xBwq6sHHF5M_21	Y
R_S_yt-5rC42egLl5E_387	Y
R_S_yt-TSSPDwAQLXs_158	Y
S_pexels-rodnae-productions-5993671	Y
S_2RTDFkjD6vI_93	Y
R_S_yt-e9AZJKNv9ow_359	Y
S_yt-GytLOB9Qjro_76	Y
S_yt-lv6mhnH7_g4_134	Y
S_yt-mWlx1SIXl5M_850	Y
ILSVRC2012_test_00025144	N
R_S_ILSVRC2015_train_00689000	Y
S_wc-lItGMdwvEd_l_7	Y
n01687978_7602	N
S_yt-McqS-QObQbk_122	Y
R_S_yt-2IfvnrF3IV0_241	Y
S_yt-auGMEMsCRJI_470	N
R_S_yt-PcOWc5EJbVo_39	Y
n04275548_5825	N
R_S_yt-f9iXELY0EJ0_344	Y
n13044778_3419	N
n07693725_5781	N
n03662601_1589	N
n02641379_27089	N
n04418357_402	N
R_S_yt-Ndwek2tpIOA_169	Y
n01692333_3245	N
n02094258_5674	N
n02988304_1974	N
n06794110_5840	N
n03372029_76011	N
