video_name	duration	width	height	size	frame_rate
R_S_pexels-mart-production-7698911.mp4	2.500000	1920	1014	5.688794	60/1
S_yt-PDNWrJ2bZ6I_79.mp4	2.500000	1280	720	1.670451	60/1
R_S_yt-kbf7N5K5cS0_35.mp4	2.500000	1280	720	7.410751	60/1
S_wc-rs31_SV1Opy__6.mp4	2.500000	1920	1080	2.819454	60/1
S_yt-TBY8F6UMnJQ_51.mp4	2.500000	1280	720	4.3379	60/1
R_S_yt-eLQydFSMGCU_75.mp4	2.500000	1280	720	5.563648	60/1
R_S_yt-XF0fyyFEgWo_280.mp4	2.500000	1280	720	6.538216	60/1
R_S_yt-_zDYi2P-QxY_128.mp4	2.500000	1280	720	6.105956	60/1
R_S_pexels-rodnae-productions-5993237.mp4	2.500000	1920	1080	7.289804	60/1
S_yt-7i9RoM8w7jM_4.mp4	2.500000	1280	720	3.96722	60/1
S_production_ID_4499960.mp4	2.500000	1920	1080	4.30691	60/1
R_S_ILSVRC2015_train_00551000.mp4	2.500000	1280	720	3.104542	60/1
R_S_pexels-c-technical-6344801.mp4	2.500000	1920	1014	7.020593	60/1
S_yt-7tLvK2IEwRM_4.mp4	2.500000	1280	720	4.29835	60/1
S_yt-FbCVXEJicis_5.mp4	2.500000	1280	720	4.023946	60/1
R_S_yt--_ZMybcaUOw_254.mp4	2.500000	1280	720	3.393695	60/1
S_ILSVRC2015_train_00001012.mp4	2.500000	1280	720	2.871966	60/1
S_G009_C014_UHD_SDR_2K_AVC.mp4	2.500000	1920	1080	11.218975	60/1
R_S_Y005_C003_SDR_2K_AVC.mp4	2.500000	1920	1080	7.059617	60/1
R_S_3WAnGcPubBY_179.mp4	2.500000	1280	720	5.629293	60/1
S_comp_DB_D002_C003_PSNK_v04_SDR_PS_20180914_SDR_2K_AVC.mp4	2.500000	1920	1080	4.999292	60/1
R_S_yt-J2PiBa1MXI0_210.mp4	2.500000	1280	720	4.547977	60/1
S_yt-xUPucH7kNAs_178.mp4	2.500000	1280	720	4.433398	60/1
S_g201_CA_A016_C002_SDR_20191114_SDR_2K_AVC.mp4	2.500000	1920	1080	15.280076	60/1
R_S_yt-QxNuo4ojvz4_420.mp4	2.500000	1280	720	4.989534	60/1
R_S_ILSVRC2015_train_00165011.mp4	2.500000	1280	720	5.52252	60/1
S_yt-Rybd-sKJFz0_78.mp4	2.500000	1280	720	4.09426	60/1
S_yt-SS7pSyb0_d0_32.mp4	2.500000	1280	720	3.576877	60/1
R_S_yt-2XRGfGc0q44_37.mp4	2.500000	1280	720	7.349452	60/1
S_yt-146gReE6xKw_379.mp4	2.500000	1280	720	2.797014	60/1
S_yt-9aKqMX9IHPg_242.mp4	2.500000	1280	720	5.620437	60/1
R_S_pexels-ron-lach-8071987.mp4	2.500000	1920	1014	6.776163	60/1
S_yt_R-SwXr0ScjD9o_20.mp4	2.500000	1280	720	2.096394	60/1
S_yt-j-ifVbxZePQ_70.mp4	2.500000	1280	720	1.738252	60/1
R_S_yt-tVfYnm81ywo_82.mp4	2.500000	1280	720	6.020818	60/1
R_S_yt-HFiRYTnMZxE_338.mp4	2.500000	1280	720	4.43101	60/1
R_S_Pexels_Videos_2791797.mp4	2.500000	1920	1080	9.702598	60/1
S_yt-HwZFMTZ7Xko_35.mp4	2.500000	1280	720	8.13733	60/1
R_S_yt-4W224-RSCnM_15.mp4	2.500000	1280	720	5.647077	60/1
R_S_video_inspire_uk_edinburgh_arthursseat_010.1080-h264.mp4	2.500000	1920	1080	12.838179	60/1
S_yt-Xs-YKSogfak_24.mp4	2.500000	1280	720	2.1644	60/1
S_ILSVRC2015_train_00682006.mp4	2.500000	1280	720	3.113837	60/1
S_yt-urJgH6tpfkU_204.mp4	2.500000	1280	720	2.699347	60/1
S_yt-XtzmBXKYEWk_60.mp4	2.500000	1280	720	2.555087	60/1
R_S_yt-V4Oosy-ZtGY_193.mp4	2.500000	1280	720	6.72379	60/1
R_S_yt-Wf-RauSbVgA_56.mp4	2.500000	1280	720	5.400845	60/1
R_S_yt-tX3slAQb9yY_13.mp4	2.500000	1280	720	4.720457	60/1
R_S_pexels-cottonbro-10640532.mp4	2.500000	1920	1014	8.191675	60/1
S_yt-H45g6700wbc_159.mp4	2.500000	1280	720	2.425868	60/1
R_S_yt-OFbbvxTLrtM_132.mp4	2.500000	1280	720	5.636666	60/1
R_S_SAiA2MWgCWE_5.mp4	2.500000	1280	720	8.714466	60/1
R_S_yt-87sgrMGL5qo_40.mp4	2.500000	1280	720	3.16181	60/1
S_I003_C008_SDR_2K_AVC.mp4	2.500000	1920	1080	11.797912	60/1
S_yt-sPhtPyQM00c_106.mp4	2.500000	1280	720	3.197611	60/1
S_yt-QJ2k6vA8aco_12.mp4	2.500000	1280	720	5.538394	60/1
R_S_yt-ePxv64kEqa0_177.mp4	2.500000	1280	720	9.654662	60/1
R_S_yt-D9uD7yM6bxQ_269.mp4	2.500000	1280	720	4.765847	60/1
S_yt-v66td-1WO7w_44.mp4	2.500000	1280	720	2.121217	60/1
R_S_yt-5AI_SyK5sg8_112.mp4	2.500000	1280	720	6.161153	60/1
S_yt-ycfVJyrFgB4_15.mp4	2.500000	1280	720	3.383104	60/1
R_S_ILSVRC2015_train_00434000.mp4	2.500000	1280	720	5.922499	60/1
R_S_yt-kINZMjys3O4_112.mp4	2.500000	1280	720	4.963864	60/1
S_ILSVRC2015_train_00318000.mp4	2.500000	1280	720	1.925012	60/1
R_S_production_ID_3944248.mp4	2.500000	1920	1014	3.953759	60/1
S_video_inspire_oregon_lone-ranch-beach_00015.1080-h264.mp4	2.500000	1920	1080	6.180951	60/1
S_yt-9EnchawJ3pA_90.mp4	2.500000	1280	720	2.336596	60/1
S_yt-mRvsz7x-q9g_90.mp4	2.500000	1280	720	3.406557	60/1
S_yt-T9Vwt7wFvPk_100.mp4	2.500000	1280	720	3.199249	60/1
R_S_yt-C0iWlRWU21o_5.mp4	2.500000	1280	720	4.914776	60/1
S_yt-CRw9-cCQqbg_332.mp4	2.500000	1280	720	3.696295	60/1
R_S_ILSVRC2015_train_00411001.mp4	2.500000	1280	720	2.008521	60/1
S_yt-MUfa26F8dfE_97.mp4	2.500000	1280	720	3.428828	60/1
R_S_yt-m8HxO_-RRq0_127.mp4	2.500000	1280	720	3.949955	60/1
S_yt-ZBk_XFb5PGo_25.mp4	2.500000	1280	720	2.179886	60/1
S_yt-J_FnFAl1uL0_143.mp4	2.500000	1280	720	3.162092	60/1
R_S_yt-wz2opOBqClo_14.mp4	2.500000	1280	720	3.587246	60/1
R_S_yt-4wYTkhggZNM_90.mp4	2.500000	1280	720	4.598546	60/1
S_yt-PcOWc5EJbVo_39.mp4	2.500000	1280	720	4.900316	60/1
S_yt-feTWuKPZA_k_34.mp4	2.500000	1280	720	3.020897	60/1
S_yt-KNdCiW8m1uY_168.mp4	2.500000	1280	720	3.822666	60/1
S_yt-xQPKYWDRy2A_491.mp4	2.500000	1280	720	6.766782	60/1
S_yt-i1h9ZiYZ86U_28.mp4	2.500000	1280	720	10.000958	60/1
S_Y011_C001_SDR_2K_AVC.mp4	2.500000	1920	1080	12.81268	60/1
S_yt-gaCbT4RR9Tw_191.mp4	2.500000	1280	720	1.983515	60/1
R_S_flickr-southeasternstar-3464778323_10.mp4	2.500000	1280	720	5.206186	60/1
R_S_pexels-anna-tarazevich-6189268.mp4	2.500000	1638	1080	4.574514	60/1
S_yt-Smw6fA3aTIk_52.mp4	2.500000	1280	720	2.862717	60/1
S_yt-oVS_k_9upmo_205.mp4	2.500000	1280	720	8.606634	60/1
S_yt-JDHApyT5ngs_128.mp4	2.500000	1280	720	2.366945	60/1
S_yt-th8otDDjMR8_3.mp4	2.500000	1280	720	4.885193	60/1
S_yt-o_Hakzj8PRg_2864.mp4	2.500000	1280	720	2.114043	60/1
R_S_yt-ie418P-Euz4_1077.mp4	2.500000	1280	720	6.026805	60/1
R_S_yt-gOoDjhfSPj0_162.mp4	2.500000	1280	720	7.167329	60/1
R_S_yt-9qXwehMoX7o_50.mp4	2.500000	1280	720	6.652947	60/1
R_S_ILSVRC2015_train_00507000.mp4	2.500000	1280	720	5.388314	60/1
R_S_yt-ZtS7ZrJ_rtk_525.mp4	2.500000	1280	720	5.106947	60/1
R_S_yt-hRAqAwRhmwE_58.mp4	2.500000	1280	720	7.809668	60/1
R_S_yt-Ja7d2a6e5xE_279.mp4	2.500000	1280	720	4.397253	60/1
R_S_yt-PyO8-WsbaLU_43.mp4	2.500000	1280	720	9.76565	60/1
R_S_yt-a4T5fdpRKlQ_125.mp4	2.500000	1280	720	2.393138	60/1
R_S_yt-c5_SFS4aaJI_1102.mp4	2.500000	1280	720	3.236728	60/1
R_S_yt-hTkrnNr39dk_202.mp4	2.500000	1280	720	6.413601	60/1
R_S_AWfiZJsMWQg_99.mp4	2.500000	1280	720	5.639508	60/1
R_S_yt-jbvXEFk2Gyw_12.mp4	2.500000	1280	720	6.530054	60/1
R_S_yt-7e6Z9QQieAk_183.mp4	2.500000	1280	720	4.18946	60/1
S_production_ID_4325513.mp4	2.500000	1920	1014	6.74479	60/1
S_yt-TqVe93JCGmM_12.mp4	2.500000	1280	720	4.329939	60/1
S_yt-k-MRlbCOzZU_163.mp4	2.500000	1280	720	4.242523	60/1
R_S_yt-WFiEvQuOqqg_18.mp4	2.500000	1280	720	4.364038	60/1
S_yt-K_gHa2x2OQA_319.mp4	2.500000	960	720	6.078013	60/1
R_S_yt-zhQ32_OayBQ_39.mp4	2.500000	1280	720	4.535572	60/1
R_S_yt-nqRBIR8dFYc_328.mp4	2.500000	1280	720	4.038529	60/1
R_S_yt-O6FS0xnF0CU_106.mp4	2.500000	1280	720	4.461552	60/1
S_production_ID_4802710.mp4	2.500000	1920	1080	4.927831	60/1
S_yt_R-3UiB_5en3gg_145.mp4	2.500000	1280	720	2.812715	60/1
R_S_yt-7Fyu2vr7zbA_31.mp4	2.500000	1280	720	3.83214	60/1
R_S_yt-G40PW6hfb2c_5.mp4	2.500000	1280	720	9.690023	60/1
R_S_gHYomsO1dSU_5.mp4	2.500000	1280	720	7.65252	60/1
R_S_comp_HK_H004_C013_t9_6M_HB_tag0.mp4	2.500000	1920	1080	15.497828	60/1
R_S_yt-kAUL5o7i5mo_116.mp4	2.500000	1280	720	4.994552	60/1
R_S_yt-2y6A9DJPsDU_65.mp4	2.500000	1280	720	6.751982	60/1
S_RS_A008_C010_SDR_20191218_SDR_2K_AVC.mp4	2.500000	1920	1080	22.065514	60/1
R_S_yt-h09NHEfoKb0_8.mp4	2.500000	1280	720	5.149016	60/1
S_video_inspire_oregon_lone-ranch-beach_00001.1080-h264.mp4	2.500000	1920	1080	6.054253	60/1
R_S_ILSVRC2015_train_00587000.mp4	2.500000	1280	720	2.542192	60/1
R_S_video_inspire_italy_como_cerano-dintelvi_006.1080-h264.mp4	2.500000	1920	1080	8.331868	60/1
S_yt-PYHK810V_n8_1375.mp4	2.500000	1280	720	2.761984	60/1
S_yt-_HuBzj8EPBc_62.mp4	2.500000	1280	720	2.596702	60/1
S_yt-w5lh_rKyKtE_21.mp4	2.500000	1280	720	2.635308	60/1
S_pexels-koolshooters-7327412_1.mp4	2.500000	1920	1080	6.705037	60/1
R_S_b5-3.mp4	2.500000	1920	1080	12.123691	60/1
S_ILSVRC2015_train_00417000.mp4	2.500000	1280	720	1.91812	60/1
S_yt-x7NWmdlvVIQ_183.mp4	2.500000	1280	720	1.985199	60/1
S_yt-9T99N7Cvi_o_112.mp4	2.500000	1280	720	2.731118	60/1
S_yt-VdS-PZIDSlM_149.mp4	2.500000	1280	720	4.478397	60/1
R_S_yt-fAWPQRcrXl0_38.mp4	2.500000	1280	720	6.351534	60/1
S_yt-WGxmmrlfdgI_10.mp4	2.500000	1280	720	3.161202	60/1
R_S_yt-4GDusA21cEA_170.mp4	2.500000	1280	720	3.962969	60/1
S_yt-BAQ3Xhm_PPE_23.mp4	2.500000	1280	720	4.757547	60/1
R_S_yt-GaJaxp546lc_22.mp4	2.500000	1280	720	7.554443	60/1
R_S_comp_A105_C003_0212CT_FLARE_v10_SDR_PS_FINAL_20180711_SDR_2K_AVC.mp4	2.500000	1920	1080	3.179894	60/1
S_yt-WASlRH1zA8c_175.mp4	2.500000	1280	720	3.347789	60/1
S_yt-khmJAQuCRRE_119.mp4	2.500000	1280	720	2.892741	60/1
S_ILSVRC2015_train_00457000.mp4	2.500000	1280	720	1.234864	60/1
R_S_comp_H007_C003_PS_v01_SDR_PS_20180925_SDR_2K_AVC.mp4	2.500000	1920	1080	15.902849	60/1
S_yt-X6ivH9SqGu8_306.mp4	2.500000	1280	720	2.426497	60/1
R_S_yt-6aqg1P9YqR8_38.mp4	2.500000	1280	720	4.021053	60/1
S_yt-icd9UxxxeW0_255.mp4	2.500000	1280	720	4.960095	60/1
S_comp_LA_A009_C009_PSNK_v02_SDR_PS_FINAL_20180709_SDR_2K_AVC.mp4	2.500000	1920	1080	4.788597	60/1
R_S_production_ID_4325509.mp4	2.500000	1920	1014	4.272171	60/1
R_S_yt-qYuLW5vSotM_160.mp4	2.500000	1280	720	7.131386	60/1
R_S_ILSVRC2015_train_00761000.mp4	2.500000	1280	720	3.770205	60/1
S_production_ID_5102663.mp4	2.500000	1920	1014	8.830915	60/1
R_S_ILSVRC2015_train_00689000.mp4	2.500000	1280	720	5.34766	60/1
S_yt-wEbfIR14zZ8_7.mp4	2.500000	1280	720	5.367779	60/1
S_yt-QZI17VPi6a0_127.mp4	2.500000	1280	720	6.490298	60/1
S_comp_H004_C009_PS_v01_SDR_PS_20180925_SDR_2K_AVC.mp4	2.500000	1920	1080	3.054801	60/1
R_S_yt-KV8X9IBWuJk_48.mp4	2.500000	1280	720	2.253345	60/1
S_yt-xnqqB-leeaQ_128.mp4	2.500000	1280	720	1.842884	60/1
R_S_comp_A008_C007_011550_CC_v01_SDR_PS_FINAL_20180709_SDR_2K_AVC.mp4	2.500000	1920	1080	5.146173	60/1
S_yt-4qU-6TEW06E_38.mp4	2.500000	1280	720	3.290325	60/1
S_b2-4.mp4	2.500000	1920	1080	5.081969	60/1
R_S_ILSVRC2015_test_00001002.mp4	2.500000	640	360	1.436382	60/1
R_S_yt-7VVzNnp36DM_78.mp4	2.500000	1280	720	4.740895	60/1
R_S_Xq0a2BWE3zA_53.mp4	2.500000	1280	720	3.024176	60/1
S_yt-O6W6CZPXvlA_15.mp4	2.500000	1280	720	2.845316	60/1
S_G010_C026_UHD_SDR_v02_2K_AVC.mp4	2.500000	1920	1080	13.213302	60/1
R_S_yt-tqxZlasEvZA_15.mp4	2.500000	1280	720	5.203012	60/1
R_S_ILSVRC2015_train_00756000.mp4	2.500000	1280	720	3.401251	60/1
R_S_yt-2pRKCSgdXXU_30.mp4	2.500000	1280	720	4.041005	60/1
R_S_DL_B002_C011_SDR_20191122_SDR_2K_AVC.mp4	2.500000	1920	1080	10.327531	60/1
S_yt-6MAIu_hWEz0_56.mp4	2.500000	1280	720	4.86129	60/1
R_S_ioSkDvwpEaU_35.mp4	2.500000	1280	720	2.971176	60/1
R_S_yt-0aHV3uU8xFY_75.mp4	2.500000	1280	720	4.376137	60/1
S_video_inspire_california_big-sur_landscape_054.1080-h264.mp4	2.500000	1920	1080	9.678879	60/1
R_S_yt-4-u4Fw_J_q8_45.mp4	2.500000	1280	720	7.020167	60/1
S_ILSVRC2015_train_00460000.mp4	2.500000	1280	720	2.73419	60/1
R_S_ILSVRC2015_train_00415009.mp4	2.500000	1280	720	1.871842	60/1
R_S_yt--a-d97T4Gak_75.mp4	2.500000	1280	720	8.194091	60/1
S_production_ID_3943334.mp4	2.500000	1920	1014	6.290331	60/1
R_S_G010_C026_UHD_SDR_v02_2K_AVC.mp4	2.500000	1920	1080	16.596611	60/1
R_S_yt-jsG6vM9Lkoc_318.mp4	2.500000	1280	720	3.309644	60/1
S_yt-EvKV7iY1_HM_193.mp4	2.500000	1280	720	2.548155	60/1
R_S_yt-MsSEF0krKE4_149.mp4	2.500000	1280	720	2.156259	60/1
R_S_yt-2IxVZeiSv3g_28.mp4	2.500000	1280	720	8.308849	60/1
R_S_production_ID_4325591.mp4	2.500000	1920	1014	8.859122	60/1
R_S_yt-BlWfK4MkjWA_469.mp4	2.500000	1280	720	2.554437	60/1
S_yt-sXy_bKQE-8U_7.mp4	2.500000	1280	720	4.359018	60/1
R_S_ILSVRC2015_train_00418000.mp4	2.500000	1280	720	8.648275	60/1
R_S_P005_C002_UHD_SDR_2K_AVC.mp4	2.500000	1920	1080	9.269968	60/1
S_I003_C011_SDR_2K_AVC.mp4	2.500000	1920	1080	9.706864	60/1
S_comp_HK_H004_C010_PSNK_v08_SDR_PS_20181009_SDR_2K_AVC.mp4	2.500000	1920	1080	6.119855	60/1
R_S_pexels-koolshooters-7327401_1.mp4	2.500000	1920	1080	10.800765	60/1
S_yt-H-2Vvouw9VI_85.mp4	2.500000	1280	720	3.715185	60/1
R_S_Roller_Coaster_1.mp4	2.500000	1280	720	3.267801	60/1
S_yt-s5YONFy3vb4_46.mp4	2.500000	1280	720	6.220357	60/1
R_S_comp_LW_L001_C006_PSNK_DENOISE_v02_SDR_PS_FINAL_20180709_SDR_2K_AVC.mp4	2.500000	1920	1080	5.407199	60/1
