trial_nr	onset	event_type	phase	response	nr_frames	movie_index	movie_duration	movie_file	blank	onset_abs	duration
0	0.15838313102722168	stim	0		1					15.493605613708496	0.00821232795715332
0	0.111541748046875	response	0	space						15.44676423072815	
1	0.166595458984375	stim	0		4695					15.50181794166565	39.14055609703064
1	39.29781198501587	pulse	0	t						54.633034467697144	
1	39.307151556015015	stim	1		1716					54.64237403869629	14.309163808822632
1	40.88963079452515	pulse	1	t						56.22485327720642	
1	42.481749057769775	pulse	1	t						57.81697154045105	
1	44.0821099281311	pulse	1	t						59.41733241081238	
1	45.6821653842926	pulse	1	t						61.01738786697388	
1	47.28221535682678	pulse	1	t						62.61743783950806	
1	48.88253664970398	pulse	1	t						64.21775913238525	
1	50.48269724845886	pulse	1	t						65.81791973114014	
1	52.082932472229004	pulse	1	t						67.41815495491028	
2	53.61631536483765	fix_pre	0		9	0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0329_rv.mp4	0.0	68.95153784751892	0.10009074211120605
2	53.683197259902954	pulse	0	t		0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0329_rv.mp4	0.0	69.01841974258423	
2	53.71640610694885	movie	1		266	0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0329_rv.mp4	0.0	69.05162858963013	2.483617067337036
2	55.28185248374939	pulse	1	t		0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0329_rv.mp4	0.0	70.61707496643066	
2	56.20002317428589	fix_post	2		12	0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0329_rv.mp4	0.0	71.53524565696716	0.10000801086425781
3	56.30003118515015	fix_pre	0		120	1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1626_fw.mp4	0.0	71.63525366783142	1.0084774494171143
3	56.8836886882782	pulse	0	t		1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1626_fw.mp4	0.0	72.21891117095947	
3	57.30850863456726	movie	1		277	1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1626_fw.mp4	0.0	72.64373111724854	2.4920380115509033
3	58.48179268836975	pulse	1	t		1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1626_fw.mp4	0.0	73.81701517105103	
3	59.800546646118164	fix_post	2		12	1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1626_fw.mp4	0.0	75.13576912879944	0.10002303123474121
4	59.900569677352905	fix_pre	0		120	2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0340_rv.mp4	0.0	75.23579216003418	1.0085365772247314
4	60.08415412902832	pulse	0	t		2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0340_rv.mp4	0.0	75.4193766117096	
4	60.90910625457764	movie	1		277	2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0340_rv.mp4	0.0	76.24432873725891	2.491990566253662
4	61.68243455886841	pulse	1	t		2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0340_rv.mp4	0.0	77.01765704154968	
4	63.28330707550049	pulse	1	t		2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0340_rv.mp4	0.0	78.61852955818176	
