trial_nr	onset	event_type	phase	response	nr_frames	movie_index	movie_duration	movie_file	blank	onset_abs	duration
0	0.14149785041809082	stim	0		93					40.98846459388733	0.7749888896942139
0	0.9085261821746826	response	0	space						41.75549292564392	
1	0.9164867401123047	stim	0		4632					41.76345348358154	38.61760592460632
1	39.51986598968506	pulse	0	t						80.3668327331543	
1	39.53409266471863	stim	1		1714					80.38105940818787	14.29878854751587
1	41.11462664604187	pulse	1	t						81.96159338951111	
1	42.714619636535645	pulse	1	t						83.56158638000488	
1	44.31500554084778	pulse	1	t						85.16197228431702	
1	45.9150972366333	pulse	1	t						86.76206398010254	
1	47.50857901573181	pulse	1	t						88.35554575920105	
1	49.11563563346863	pulse	1	t						89.96260237693787	
1	50.716322898864746	pulse	1	t						91.56328964233398	
1	52.31633472442627	pulse	1	t						93.16330146789551	
2	53.8328812122345	fix_pre	0		11	0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0190_fw.mp4	0.0	94.67984795570374	0.10831570625305176
2	53.90916419029236	pulse	0	t		0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0190_fw.mp4	0.0	94.7561309337616	
2	53.94119691848755	movie	1		277	0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0190_fw.mp4	0.0	94.78816366195679	2.491990327835083
2	55.50845766067505	pulse	1	t		0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0190_fw.mp4	0.0	96.35542440414429	
2	56.43318724632263	fix_post	2		12	0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0190_fw.mp4	0.0	97.28015398979187	0.10004162788391113
3	56.53322887420654	fix_pre	0		120	1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/2061_rv.mp4	0.0	97.38019561767578	1.008462905883789
3	57.10861110687256	pulse	0	t		1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/2061_rv.mp4	0.0	97.9555778503418	
3	57.54169178009033	movie	1		290	1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/2061_rv.mp4	0.0	98.38865852355957	2.492021083831787
3	58.70870494842529	pulse	1	t		1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/2061_rv.mp4	0.0	99.55567169189453	
3	60.03371286392212	fix_post	2		12	1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/2061_rv.mp4	0.0	100.88067960739136	0.10000872611999512
4	60.133721590042114	fix_pre	0		120	2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0437_rv.mp4	0.0	100.98068833351135	1.008509874343872
