trial_nr	onset	event_type	phase	response	nr_frames	movie_index	movie_duration	movie_file	blank	onset_abs	duration
0	0.2081921100616455	stim	0		14					50.20715928077698	0.11669301986694336
0	0.3169729709625244	response	0	space						50.315940141677856	
1	0.32488512992858887	stim	0		4401					50.32385230064392	36.69174599647522
1	37.00701403617859	pulse	0	t						87.00598120689392	
1	37.01663112640381	stim	1		1716					87.01559829711914	14.307487964630127
1	38.59739708900452	pulse	1	t						88.59636425971985	
1	40.19770407676697	pulse	1	t						90.1966712474823	
1	41.79796600341797	pulse	1	t						91.7969331741333	
1	43.39815902709961	pulse	1	t						93.39712619781494	
1	44.99834108352661	pulse	1	t						94.99730825424194	
1	46.59855604171753	pulse	1	t						96.59752321243286	
1	48.19880414009094	pulse	1	t						98.19777131080627	
1	49.7990779876709	pulse	1	t						99.79804515838623	
2	51.324119091033936	fix_pre	0		10	0.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/2119_fw.mp4	0.0	101.32308626174927	0.08338189125061035
2	51.399325132369995	pulse	0	t		0.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/2119_fw.mp4	0.0	101.39829230308533	
2	51.407500982284546	movie	1		248	0.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/2119_fw.mp4	0.0	101.40646815299988	2.508761167526245
2	52.99997305870056	pulse	1	t		0.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/2119_fw.mp4	0.0	102.9989402294159	
2	53.91626214981079	fix_post	2		12	0.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/2119_fw.mp4	0.0	103.91522932052612	0.10008597373962402
3	54.016348123550415	fix_pre	0		120	1.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1589_rv.mp4	0.0	104.01531529426575	1.0000619888305664
3	54.599897146224976	pulse	0	t		1.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1589_rv.mp4	0.0	104.59886431694031	
3	55.01641011238098	movie	1		243	1.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1589_rv.mp4	0.0	105.01537728309631	2.5005130767822266
3	56.200252056121826	pulse	1	t		1.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1589_rv.mp4	0.0	106.19921922683716	
3	57.51692318916321	fix_post	2		12	1.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1589_rv.mp4	0.0	107.51589035987854	0.09985780715942383
4	57.61678099632263	fix_pre	0		117	2.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0862_fw.mp4	0.0	107.61574816703796	1.0001261234283447
4	57.80029511451721	pulse	0	t		2.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0862_fw.mp4	0.0	107.79926228523254	
4	58.61690711975098	movie	1		242	2.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0862_fw.mp4	0.0	108.61587429046631	2.500514030456543
4	59.40053606033325	pulse	1	t		2.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0862_fw.mp4	0.0	109.39950323104858	
4	61.000702142715454	pulse	1	t		2.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0862_fw.mp4	0.0	110.99966931343079	
4	61.11742115020752	fix_post	2		12	2.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0862_fw.mp4	0.0	111.11638832092285	0.09993696212768555
5	61.217358112335205	fix_pre	0		120	3.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0493_fw.mp4	0.0	111.21632528305054	1.0000760555267334
5	62.21743416786194	movie	1		241	3.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0493_fw.mp4	0.0	112.21640133857727	2.4921488761901855
5	62.60174107551575	pulse	1	t		3.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0493_fw.mp4	0.0	112.60070824623108	
5	64.20126414299011	pulse	1	t		3.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0493_fw.mp4	0.0	114.20023131370544	
5	64.70958304405212	fix_post	2		12	3.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0493_fw.mp4	0.0	114.70855021476746	0.09989404678344727
6	64.80947709083557	fix_pre	0		120	4.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1282_fw.mp4	0.0	114.8084442615509	1.0002548694610596
6	65.80154705047607	pulse	0	t		4.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1282_fw.mp4	0.0	115.8005142211914	
6	65.80973196029663	movie	1		243	4.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1282_fw.mp4	0.0	115.80869913101196	2.508679151535034
6	67.40571808815002	pulse	1	t		4.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1282_fw.mp4	0.0	117.40468525886536	
6	68.31841111183167	fix_post	2		12	4.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1282_fw.mp4	0.0	118.317378282547	0.09997797012329102
7	68.41838908195496	fix_pre	0		120	5.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0747_rv.mp4	0.0	118.41735625267029	1.0037009716033936
7	69.00203704833984	pulse	0	t		5.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0747_rv.mp4	0.0	119.00100421905518	
7	69.42209005355835	movie	1		238	5.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0747_rv.mp4	0.0	119.42105722427368	2.4969489574432373
