trial_nr	onset	event_type	phase	response	nr_frames	movie_index	movie_duration	movie_file	blank	onset_abs	duration
0	0.1916675567626953	stim	0		1					31.85655450820923	0.03320908546447754
0	0.13165974617004395	response	0	space						31.796546697616577	
1	0.22487664222717285	stim	0		4667					31.889763593673706	38.90642857551575
1	39.118863344192505	pulse	0	t						70.78375029563904	
1	39.13130521774292	stim	1		1715					70.79619216918945	14.301549434661865
1	40.71451473236084	pulse	1	t						72.37940168380737	
1	42.31472301483154	pulse	1	t						73.97960996627808	
1	43.91504955291748	pulse	1	t						75.57993650436401	
1	45.5151572227478	pulse	1	t						77.18004417419434	
1	47.11537575721741	pulse	1	t						78.78026270866394	
1	48.7156765460968	pulse	1	t						80.38056349754333	
1	50.31596755981445	pulse	1	t						81.98085451126099	
1	51.91619420051575	pulse	1	t						83.58108115196228	
2	53.432854652404785	fix_pre	0		6	0.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1375_rv.mp4	0.0	85.09774160385132	0.1668229103088379
2	53.5164430141449	pulse	0	t		0.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1375_rv.mp4	0.0	85.18132996559143	
2	53.59967756271362	movie	1		282	0.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1375_rv.mp4	0.0	85.26456451416016	2.4503116607666016
2	55.112972259521484	pulse	1	t		0.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1375_rv.mp4	0.0	86.77785921096802	
2	56.049989223480225	fix_post	2		12	0.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1375_rv.mp4	0.0	87.71487617492676	0.0999760627746582
3	56.14996528625488	fix_pre	0		120	1.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1985_rv.mp4	0.0	87.81485223770142	1.0084972381591797
3	56.71695899963379	pulse	0	t		1.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1985_rv.mp4	0.0	88.38184595108032	
3	57.15846252441406	movie	1		280	1.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1985_rv.mp4	0.0	88.8233494758606	2.4920461177825928
3	58.3159236907959	pulse	1	t		1.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1985_rv.mp4	0.0	89.98081064224243	
3	59.650508642196655	fix_post	2		12	1.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1985_rv.mp4	0.0	91.31539559364319	0.10000181198120117
4	59.750510454177856	fix_pre	0		120	2.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1415_fw.mp4	0.0	91.41539740562439	1.0168015956878662
4	59.91731405258179	pulse	0	t		2.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1415_fw.mp4	0.0	91.58220100402832	
4	60.76731204986572	movie	1		282	2.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1415_fw.mp4	0.0	92.43219900131226	2.483701229095459
4	61.513733863830566	pulse	1	t		2.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1415_fw.mp4	0.0	93.1786208152771	
