trial_nr	onset	event_type	phase	response	nr_frames	movie_index	movie_duration	movie_file	blank	onset_abs	duration
0	0.16646409034729004	stim	0		69					16.39233684539795	0.574913740158081
0	0.7265822887420654	response	0	space						16.952455043792725	
1	0.7413778305053711	stim	0		3455					16.96725058555603	28.80552864074707
1	29.537260055541992	pulse	0	t						45.76313281059265	
1	29.54690647125244	stim	1		1715					45.7727792263031	14.300972938537598
1	31.129531383514404	pulse	1	t						47.35540413856506	
1	32.72971558570862	pulse	1	t						48.95558834075928	
1	34.33012771606445	pulse	1	t						50.55600047111511	
1	35.93029069900513	pulse	1	t						52.156163454055786	
1	37.530465841293335	pulse	1	t						53.756338596343994	
1	39.130722761154175	pulse	1	t						55.356595516204834	
1	40.7309455871582	pulse	1	t						56.95681834220886	
1	42.33115744590759	pulse	1	t						58.55703020095825	
2	43.84787940979004	fix_pre	0		11	0.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0074_fw.mp4	0.0	60.0737521648407	0.10845088958740234
2	43.931809425354004	pulse	0	t		0.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0074_fw.mp4	0.0	60.15768218040466	
2	43.95633029937744	movie	1		289	0.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0074_fw.mp4	0.0	60.1822030544281	2.4919605255126953
2	45.529855728149414	pulse	1	t		0.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0074_fw.mp4	0.0	61.75572848320007	
2	46.44829082489014	fix_post	2		12	0.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0074_fw.mp4	0.0	62.674163579940796	0.1000511646270752
3	46.54834198951721	fix_pre	0		120	1.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0921_rv.mp4	0.0	62.77421474456787	1.0084290504455566
3	47.13188815116882	pulse	0	t		1.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0921_rv.mp4	0.0	63.35776090621948	
3	47.55677103996277	movie	1		281	1.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0921_rv.mp4	0.0	63.78264379501343	2.492161273956299
3	48.7299702167511	pulse	1	t		1.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0921_rv.mp4	0.0	64.95584297180176	
3	50.04893231391907	fix_post	2		12	1.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0921_rv.mp4	0.0	66.27480506896973	0.09993743896484375
4	50.14886975288391	fix_pre	0		120	2.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0789_fw.mp4	0.0	66.37474250793457	1.0085010528564453
4	50.33246874809265	pulse	0	t		2.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0789_fw.mp4	0.0	66.55834150314331	
4	51.157370805740356	movie	1		267	2.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0789_fw.mp4	0.0	67.38324356079102	2.4919960498809814
4	51.930768728256226	pulse	1	t		2.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0789_fw.mp4	0.0	68.15664148330688	
4	53.53219771385193	pulse	1	t		2.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0789_fw.mp4	0.0	69.75807046890259	
4	53.64936685562134	fix_post	2		12	2.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0789_fw.mp4	0.0	69.875239610672	0.10000395774841309
5	53.74937081336975	fix_pre	0		120	3.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0054_rv.mp4	0.0	69.97524356842041	1.008606195449829
5	54.75797700881958	movie	1		269	3.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0054_rv.mp4	0.0	70.98384976387024	2.491919994354248
5	55.13195013999939	pulse	1	t		3.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0054_rv.mp4	0.0	71.35782289505005	
5	56.73269605636597	pulse	1	t		3.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0054_rv.mp4	0.0	72.95856881141663	
5	57.24989700317383	fix_post	2		12	3.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0054_rv.mp4	0.0	73.47576975822449	0.1000981330871582
6	57.349995136260986	fix_pre	0		119	4.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1094_rv.mp4	0.0	73.57586789131165	1.0000884532928467
6	58.333884716033936	pulse	0	t		4.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1094_rv.mp4	0.0	74.5597574710846	
6	58.35008358955383	movie	1		280	4.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1094_rv.mp4	0.0	74.57595634460449	2.5004031658172607
6	59.932055711746216	pulse	1	t		4.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1094_rv.mp4	0.0	76.15792846679688	
6	60.850486755371094	fix_post	2		12	4.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1094_rv.mp4	0.0	77.07635951042175	0.10010886192321777
7	60.95059561729431	fix_pre	0		120	5.0	2.5	blank	1.0	77.17646837234497	1.0001981258392334
7	61.52671432495117	pulse	0	t		5.0	2.5	blank	1.0	77.75258708000183	
7	61.950793743133545	movie	1		300	5.0	2.5	blank	1.0	78.1766664981842	2.5001766681671143
7	63.1266667842865	pulse	1	t		5.0	2.5	blank	1.0	79.35253953933716	
7	64.45097041130066	fix_post	2		12	5.0	2.5	blank	1.0	80.67684316635132	0.10004019737243652
8	64.5510106086731	fix_pre	0		120	6.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0205_fw.mp4	0.0	80.77688336372375	1.008481502532959
8	64.72695112228394	pulse	0	t		6.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0205_fw.mp4	0.0	80.9528238773346	
8	65.55949211120605	movie	1		269	6.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0205_fw.mp4	0.0	81.78536486625671	2.492124319076538
8	66.3267412185669	pulse	1	t		6.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0205_fw.mp4	0.0	82.55261397361755	
8	67.92679905891418	pulse	1	t		6.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0205_fw.mp4	0.0	84.15267181396484	
8	68.05161643028259	fix_post	2		12	6.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/0205_fw.mp4	0.0	84.27748918533325	0.09992599487304688
9	68.15154242515564	fix_pre	0		120	7.0	2.5	/experiments/knapen_AOT/AOT_stimuli/rescaled_final/1186_fw.mp4	0.0	84.3774151802063	1.0084948539733887
