1669_fw	N
1104_fw	N
1914_fw	Y
0019_fw	N
2133_fw	N
0076_fw	N
1787_fw	N
1256_fw	N
1012_fw	Y
0216_fw	Y
2145_fw	N
0172_fw	Y
1484_fw	Y
0105_fw	N
0340_fw	N
1674_fw	Y
1897_fw	Y
1147_fw	Y
1841_fw	N
1316_fw	N
1360_fw	N
0841_fw	N
1609_fw	Y
1291_fw	Y
1125_fw	Y
2109_fw	Y
0078_fw	N
2108_fw	N
0324_fw	N
0393_fw	Y
1454_fw	Y
1670_fw	Y
1167_fw	N
1470_fw	Y
0859_fw	N
0767_fw	Y
0060_fw	Y
1236_fw	Y
1682_fw	N
1394_fw	Y
0291_fw	Y
1743_fw	N
0231_fw	N
0240_fw	Y
1804_fw	Y
1446_fw	N
2103_fw	Y
1309_fw	N
1024_fw	Y
1121_fw	N
0834_fw	Y
1685_fw	N
1482_fw	N
0147_fw	N
0720_fw	N
0307_fw	Y
0982_fw	Y
0075_fw	Y
0420_fw	Y
0342_fw	N
0970_fw	Y
0300_fw	Y
1985_fw	N
0925_fw	Y
1650_fw	N
1551_fw	N
1939_fw	N
0894_fw	N
1891_fw	N
0665_fw	Y
0804_fw	N
2179_fw	Y
1032_fw	N
0701_fw	N
1194_fw	N
2031_fw	N
2094_fw	Y
2036_fw	Y
1407_fw	N
0691_fw	N
0726_fw	Y
1548_fw	Y
0783_fw	N
1448_fw	Y
0294_fw	N
1428_fw	Y
0421_fw	Y
1772_fw	Y
1449_fw	N
1107_fw	Y
1108_fw	N
0909_fw	Y
0332_fw	Y
0789_fw	Y
0173_fw	Y
1343_fw	Y
0685_fw	N
0796_fw	N
0984_fw	N
1973_fw	Y
1031_fw	N
1435_fw	Y
1533_fw	Y
0358_fw	N
0837_fw	Y
1624_fw	N
1087_fw	N
0333_fw	N
1664_fw	Y
1578_fw	Y
0910_fw	N
0326_fw	Y
0025_fw	Y
1262_fw	N
1820_fw	Y
1063_fw	Y
2077_fw	N
1597_fw	Y
0273_fw	N
0650_fw	Y
1676_fw	Y
0043_fw	N
2128_fw	N
1036_fw	Y
1862_fw	Y
1813_fw	Y
0857_fw	Y
1990_fw	Y
0001_fw	N
0822_fw	N
0482_fw	Y
0599_fw	N
0679_fw	N
1714_fw	Y
0776_fw	N
0743_fw	N
0991_fw	Y
1814_fw	N
0742_fw	N
0883_fw	N
1504_fw	Y
0781_fw	Y
0497_fw	N
1658_fw	Y
2123_fw	Y
1401_fw	N
1577_fw	Y
1744_fw	Y
1989_fw	Y
1136_fw	N
2093_fw	N
0944_fw	N
1144_fw	N
0515_fw	N
1064_fw	N
1899_fw	N
0923_fw	N
1258_fw	N
1400_fw	Y
1370_fw	Y
0176_fw	Y
0386_fw	Y
0011_fw	N
2033_fw	Y
1755_fw	N
1868_fw	N
0613_fw	N
0593_fw	Y
1286_fw	N
1812_fw	Y
1540_fw	Y
0199_fw	Y
0014_fw	N
0396_fw	N
1620_fw	Y
1252_fw	Y
0365_fw	Y
0974_fw	Y
1539_fw	N
1239_fw	N
