trial_nr	onset	event_type	phase	response	nr_frames	picture_index	picture_file	onset_abs	duration
0	0.012644052505493164	stim	0		278.0			34.24243116378784	2.327244997024536
0	2.3235559463500977	response	0	space				36.553343057632446	
2	2.3398890495300293	picture	0		696.0	0.0	/home/egter/Projects/stimuli/pictures/S_yt-wPXrAuiiRZg_1062.png	36.56967616081238	5.801771879196167
2	8.131607055664062	response	0	j		0.0	/home/egter/Projects/stimuli/pictures/S_yt-wPXrAuiiRZg_1062.png	42.36139416694641	
3	8.141660928726196	picture	0		165.0	1.0	/home/egter/Projects/stimuli/pictures/n01990800_4494.JPEG	42.371448040008545	1.3749620914459229
3	9.506655931472778	response	0	j		1.0	/home/egter/Projects/stimuli/pictures/n01990800_4494.JPEG	43.73644304275513	
4	9.51662302017212	picture	0		89.0	2.0	/home/egter/Projects/stimuli/pictures/n01729322_11839.JPEG	43.74641013145447	0.7430369853973389
4	10.24829387664795	response	0	k		2.0	/home/egter/Projects/stimuli/pictures/n01729322_11839.JPEG	44.4780809879303	
5	10.259660005569458	picture	0		121.0	3.0	/home/egter/Projects/stimuli/pictures/R_S_yt-Uv0dt_-fWJU_40.png	44.48944711685181	1.0069479942321777
5	11.256613969802856	response	0	j		3.0	/home/egter/Projects/stimuli/pictures/R_S_yt-Uv0dt_-fWJU_40.png	45.486401081085205	
6	11.266607999801636	picture	0		168.0	4.0	/home/egter/Projects/stimuli/pictures/n02484975_10704.JPEG	45.496395111083984	1.4028840065002441
6	12.65662693977356	response	0	j		4.0	/home/egter/Projects/stimuli/pictures/n02484975_10704.JPEG	46.88641405105591	
7	12.66949200630188	picture	0		87.0	5.0	/home/egter/Projects/stimuli/pictures/R_S_yt-4rwBpRuHg-c_1308.png	46.89927911758423	0.7220919132232666
7	13.381607055664062	response	0	j		5.0	/home/egter/Projects/stimuli/pictures/R_S_yt-4rwBpRuHg-c_1308.png	47.61139416694641	
8	13.391583919525146	picture	0		105.0	6.0	/home/egter/Projects/stimuli/pictures/n02326432_10454.JPEG	47.621371030807495	0.8750460147857666
8	14.256630897521973	response	0	k		6.0	/home/egter/Projects/stimuli/pictures/n02326432_10454.JPEG	48.48641800880432	
9	14.266629934310913	picture	0		147.0	7.0	/home/egter/Projects/stimuli/pictures/R_S_yt-SyePE8wOlxs_321.png	48.49641704559326	1.2293100357055664
9	15.482022047042847	response	0	j		7.0	/home/egter/Projects/stimuli/pictures/R_S_yt-SyePE8wOlxs_321.png	49.711809158325195	
10	15.49593997001648	picture	0		106.0	8.0	/home/egter/Projects/stimuli/pictures/n02077923_9403.JPEG	49.72572708129883	0.8887059688568115
10	16.37328290939331	response	0	j		8.0	/home/egter/Projects/stimuli/pictures/n02077923_9403.JPEG	50.60307002067566	
11	16.38464593887329	picture	0		209.0	9.0	/home/egter/Projects/stimuli/pictures/S_ILSVRC2015_train_00707000.png	50.61443305015564	1.7431659698486328
11	18.114951848983765	response	0	k		9.0	/home/egter/Projects/stimuli/pictures/S_ILSVRC2015_train_00707000.png	52.34473896026611	
12	18.127811908721924	picture	0		183.0	10.0	/home/egter/Projects/stimuli/pictures/n04483307_9389.JPEG	52.35759902000427	1.5206310749053955
12	19.639940977096558	response	0	j		10.0	/home/egter/Projects/stimuli/pictures/n04483307_9389.JPEG	53.869728088378906	
13	19.64844298362732	picture	0		97.0	11.0	/home/egter/Projects/stimuli/pictures/R_S_yt-0bovQBIUZho_15.png	53.87823009490967	0.8125350475311279
13	20.44832992553711	response	0	j		11.0	/home/egter/Projects/stimuli/pictures/R_S_yt-0bovQBIUZho_15.png	54.67811703681946	
14	20.460978031158447	picture	0		315.0	12.0	/home/egter/Projects/stimuli/pictures/R_S_yt-4i1b6NQ9NKs_5.png	54.690765142440796	2.6250178813934326
14	23.073309898376465	response	0	k		12.0	/home/egter/Projects/stimuli/pictures/R_S_yt-4i1b6NQ9NKs_5.png	57.30309700965881	
15	23.08599591255188	picture	0		179.0	13.0	/home/egter/Projects/stimuli/pictures/n02123045_15494.JPEG	57.31578302383423	1.4931011199951172
15	24.558083057403564	response	0	k		13.0	/home/egter/Projects/stimuli/pictures/n02123045_15494.JPEG	58.78787016868591	
16	24.579097032546997	picture	0		565.0	14.0	/home/egter/Projects/stimuli/pictures/S_yt-Uv0dt_-fWJU_40.png	58.808884143829346	4.7151830196380615
16	29.28153705596924	response	0	j		14.0	/home/egter/Projects/stimuli/pictures/S_yt-Uv0dt_-fWJU_40.png	63.51132416725159	
17	29.29428005218506	picture	0		541.0	15.0	/home/egter/Projects/stimuli/pictures/S_video-8.png	63.52406716346741	4.597128868103027
17	33.798107862472534	response	0	j		15.0	/home/egter/Projects/stimuli/pictures/S_video-8.png	68.02789497375488	
18	33.891408920288086	picture	0		99.0	16.0	/home/egter/Projects/stimuli/pictures/n01734418_5604.JPEG	68.12119603157043	0.8263370990753174
18	34.70648503303528	response	0	k		16.0	/home/egter/Projects/stimuli/pictures/n01734418_5604.JPEG	68.93627214431763	
19	34.7177460193634	picture	0		417.0	17.0	/home/egter/Projects/stimuli/pictures/S_pexels-kampus-production-5991896.png	68.94753313064575	3.472322940826416
19	38.181509017944336	response	0	j		17.0	/home/egter/Projects/stimuli/pictures/S_pexels-kampus-production-5991896.png	72.41129612922668	
20	38.19006896018982	picture	0		182.0	18.0	/home/egter/Projects/stimuli/pictures/n02494079_5661.JPEG	72.41985607147217	1.5207459926605225
20	39.69818592071533	response	0	k		18.0	/home/egter/Projects/stimuli/pictures/n02494079_5661.JPEG	73.92797303199768	
20	39.69825792312622	response	0	j		18.0	/home/egter/Projects/stimuli/pictures/n02494079_5661.JPEG	73.92804503440857	
21	39.71081495285034	picture	0		800.0	19.0	/home/egter/Projects/stimuli/pictures/R_S_yt-aTEGTeQuDWM_93.png	73.94060206413269	6.666594982147217
21	46.35819387435913	response	0	j		19.0	/home/egter/Projects/stimuli/pictures/R_S_yt-aTEGTeQuDWM_93.png	80.58798098564148	
22	46.37740993499756	picture	0		397.0	20.0	/home/egter/Projects/stimuli/pictures/n02058221_7560.JPEG	80.60719704627991	3.305570125579834
22	49.67312288284302	response	0	k		20.0	/home/egter/Projects/stimuli/pictures/n02058221_7560.JPEG	83.90290999412537	
23	49.68298006057739	picture	0		795.0	21.0	/home/egter/Projects/stimuli/pictures/R_S_yt-PYP0fEQ357c_89.png	83.91276717185974	6.624853849411011
23	56.29802584648132	response	0	k		21.0	/home/egter/Projects/stimuli/pictures/R_S_yt-PYP0fEQ357c_89.png	90.52781295776367	
24	56.3078339099884	picture	0		1048.0	22.0	/home/egter/Projects/stimuli/pictures/R_S_b8-2.png	90.53762102127075	8.740070104598999
24	65.03134489059448	response	0	j		22.0	/home/egter/Projects/stimuli/pictures/R_S_b8-2.png	99.26113200187683	
25	65.0479040145874	picture	0		122.0	23.0	/home/egter/Projects/stimuli/pictures/R_S_yt-BlWfK4MkjWA_469.png	99.27769112586975	1.0168039798736572
25	66.05641603469849	response	0	j		23.0	/home/egter/Projects/stimuli/pictures/R_S_yt-BlWfK4MkjWA_469.png	100.28620314598083	
26	66.06470799446106	picture	0		104.0	24.0	/home/egter/Projects/stimuli/pictures/R_S_yt-Wr5pSPApQDw_235.png	100.29449510574341	0.8680999279022217
26	66.92307090759277	response	0	j		24.0	/home/egter/Projects/stimuli/pictures/R_S_yt-Wr5pSPApQDw_235.png	101.15285801887512	
27	66.93280792236328	picture	0		231.0	25.0	/home/egter/Projects/stimuli/pictures/S_yt-Sz5GUMVi46A_1.png	101.16259503364563	1.9235000610351562
27	68.84803485870361	response	0	k		25.0	/home/egter/Projects/stimuli/pictures/S_yt-Sz5GUMVi46A_1.png	103.07782196998596	
28	68.85630798339844	picture	0		99.0	26.0	/home/egter/Projects/stimuli/pictures/R_S_yt-4oT-2eGhmUo_102.png	103.08609509468079	0.8263959884643555
28	69.67300605773926	response	0	j		26.0	/home/egter/Projects/stimuli/pictures/R_S_yt-4oT-2eGhmUo_102.png	103.9027931690216	
29	69.6827039718628	picture	0		202.0	27.0	/home/egter/Projects/stimuli/pictures/n02115913_3938.JPEG	103.91249108314514	1.6877739429473877
29	71.35648989677429	response	0	k		27.0	/home/egter/Projects/stimuli/pictures/n02115913_3938.JPEG	105.58627700805664	
30	71.37047791481018	picture	0		575.0	28.0	/home/egter/Projects/stimuli/pictures/R_S_yt_R-lST38EdfMMQ_5.png	105.60026502609253	4.805315017700195
30	76.15633988380432	response	0	j		28.0	/home/egter/Projects/stimuli/pictures/R_S_yt_R-lST38EdfMMQ_5.png	110.38612699508667	
31	76.17579293251038	picture	0		204.0	29.0	/home/egter/Projects/stimuli/pictures/n01945685_1342.JPEG	110.40558004379272	1.701361894607544
31	77.86467003822327	response	0	k		29.0	/home/egter/Projects/stimuli/pictures/n01945685_1342.JPEG	112.09445714950562	
32	77.87715482711792	picture	0		181.0	30.0	/home/egter/Projects/stimuli/pictures/S_comp_H012_C009_PS_v01_SDR_PS_20180925_SDR_2K_AVC.png	112.10694193840027	1.5068809986114502
32	79.3661699295044	response	0	j		30.0	/home/egter/Projects/stimuli/pictures/S_comp_H012_C009_PS_v01_SDR_PS_20180925_SDR_2K_AVC.png	113.59595704078674	
33	79.38403582572937	picture	0		159.0	31.0	/home/egter/Projects/stimuli/pictures/S_yt-zydTlQGCUjQ_277.png	113.61382293701172	1.3264400959014893
33	80.6979558467865	response	0	j		31.0	/home/egter/Projects/stimuli/pictures/S_yt-zydTlQGCUjQ_277.png	114.92774295806885	
34	80.71047592163086	picture	0		602.0	32.0	/home/egter/Projects/stimuli/pictures/R_S_yt-31yLemkW42Q_111.png	114.94026303291321	5.013801097869873
34	85.71471190452576	response	0	j		32.0	/home/egter/Projects/stimuli/pictures/R_S_yt-31yLemkW42Q_111.png	119.9444990158081	
35	85.72427701950073	picture	0		130.0	33.0	/home/egter/Projects/stimuli/pictures/S_yt-_F8eDDKtvJ0_82.png	119.95406413078308	1.083348035812378
35	86.79794692993164	response	0	j		33.0	/home/egter/Projects/stimuli/pictures/S_yt-_F8eDDKtvJ0_82.png	121.02773404121399	
36	86.80762505531311	picture	0		135.0	34.0	/home/egter/Projects/stimuli/pictures/R_S_production_ID_3944248.png	121.03741216659546	1.1249029636383057
36	87.92298984527588	response	0	k		34.0	/home/egter/Projects/stimuli/pictures/R_S_production_ID_3944248.png	122.15277695655823	
37	87.93252801895142	picture	0		99.0	35.0	/home/egter/Projects/stimuli/pictures/R_S_pexels-mikhail-nilov-8410084.png	122.16231513023376	0.8264288902282715
37	88.74809193611145	response	0	j		35.0	/home/egter/Projects/stimuli/pictures/R_S_pexels-mikhail-nilov-8410084.png	122.9778790473938	
38	88.75895690917969	picture	0		883.0	36.0	/home/egter/Projects/stimuli/pictures/n02107908_11245.JPEG	122.98874402046204	7.3610999584198
38	96.10624694824219	response	0	j		36.0	/home/egter/Projects/stimuli/pictures/n02107908_11245.JPEG	130.33603405952454	
39	96.12005686759949	picture	0		178.0	37.0	/home/egter/Projects/stimuli/pictures/n03527444_4185.JPEG	130.34984397888184	1.4860801696777344
39	97.59113192558289	response	0	k		37.0	/home/egter/Projects/stimuli/pictures/n03527444_4185.JPEG	131.82091903686523	
40	97.60613703727722	picture	0		126.0	38.0	/home/egter/Projects/stimuli/pictures/n02168699_151.JPEG	131.83592414855957	1.0556049346923828
40	98.6479480266571	response	0	k		38.0	/home/egter/Projects/stimuli/pictures/n02168699_151.JPEG	132.87773513793945	
41	98.6617419719696	picture	0		163.0	39.0	/home/egter/Projects/stimuli/pictures/S_yt-6DJulOrg2-8_122.png	132.89152908325195	1.361037015914917
41	100.01459884643555	response	0	j		39.0	/home/egter/Projects/stimuli/pictures/S_yt-6DJulOrg2-8_122.png	134.2443859577179	
42	100.02277898788452	picture	0		311.0	40.0	/home/egter/Projects/stimuli/pictures/S_yt-D9uD7yM6bxQ_269.png	134.25256609916687	2.5971338748931885
42	102.59936785697937	response	0	j		40.0	/home/egter/Projects/stimuli/pictures/S_yt-D9uD7yM6bxQ_269.png	136.82915496826172	
43	102.61991286277771	picture	0		161.0	41.0	/home/egter/Projects/stimuli/pictures/ILSVRC2012_test_00089164.JPEG	136.84969997406006	1.3472449779510498
43	103.95625305175781	response	0	k		41.0	/home/egter/Projects/stimuli/pictures/ILSVRC2012_test_00089164.JPEG	138.18604016304016	
