,0
/home/egter/Projects/stimuli/pictures/S_ILSVRC2015_test_00004002.png,k
/home/egter/Projects/stimuli/pictures/S_yt-nCNZ87Tio1M_1.png,j
/home/egter/Projects/stimuli/pictures/S_wc-6or3Gl2Fif0m_13.png,j
/home/egter/Projects/stimuli/pictures/n04162706_12268.JPEG,k
/home/egter/Projects/stimuli/pictures/n02492035_9172.JPEG,k
/home/egter/Projects/stimuli/pictures/S_flickr-hapanine-31880782705_22.png,j
/home/egter/Projects/stimuli/pictures/R_S_Pexels_Videos_2791797.png,j
/home/egter/Projects/stimuli/pictures/R_S_pexels-polina-tankilevitch-8203088.png,j
/home/egter/Projects/stimuli/pictures/n02776631_14631.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_comp_H005_C012_PS_v01_SDR_PS_20180925_SDR_2K_AVC.png,j
/home/egter/Projects/stimuli/pictures/S_Pexels_Videos_2795731.png,k
/home/egter/Projects/stimuli/pictures/S_yt-ZfDtalvUK5k_36.png,j
/home/egter/Projects/stimuli/pictures/R_S_yt-zlbtESb7Fcw_28.png,j
/home/egter/Projects/stimuli/pictures/ILSVRC2012_val_00046430.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-a9bnYU0Gnxg_59.png,k
/home/egter/Projects/stimuli/pictures/n03599486_34446.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-4x2eUikn9rw_212.png,j
/home/egter/Projects/stimuli/pictures/ILSVRC2012_test_00020475.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_production_ID_4325513.png,j
/home/egter/Projects/stimuli/pictures/R_S_yt-9Q7SZR0mgMA_155.png,j
/home/egter/Projects/stimuli/pictures/n01910747_9384.JPEG,k
/home/egter/Projects/stimuli/pictures/n07716906_8909.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-HRuCkU_kBoE_239.png,k
/home/egter/Projects/stimuli/pictures/n01737021_15776.JPEG,j
/home/egter/Projects/stimuli/pictures/R_S_yt-a9bnYU0Gnxg_59.png,k
/home/egter/Projects/stimuli/pictures/n04252225_5024.JPEG,k
/home/egter/Projects/stimuli/pictures/S_Pexels_Videos_2791797.png,j
/home/egter/Projects/stimuli/pictures/n03527444_23205.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-1uk2k3PnTNw_12.png,k
/home/egter/Projects/stimuli/pictures/R_S_yt-F2x6e7e7cAE_70.png,j
/home/egter/Projects/stimuli/pictures/n01924916_11230.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_ILSVRC2015_train_00323000.png,j
/home/egter/Projects/stimuli/pictures/S_b5-3.png,j
/home/egter/Projects/stimuli/pictures/S_production_ID_4325585.png,j
/home/egter/Projects/stimuli/pictures/n02447366_2109.JPEG,k
/home/egter/Projects/stimuli/pictures/n07693725_9013.JPEG,j
/home/egter/Projects/stimuli/pictures/R_S_yt-M5qZo3CUXYE_27.png,j
/home/egter/Projects/stimuli/pictures/n03538406_15318.JPEG,k
/home/egter/Projects/stimuli/pictures/n04336792_6572.JPEG,k
/home/egter/Projects/stimuli/pictures/n04599235_8085.JPEG,k
/home/egter/Projects/stimuli/pictures/n04238763_27969.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_yt-25xuzTBhwPk_109.png,j
/home/egter/Projects/stimuli/pictures/n04589890_9882.JPEG,k
/home/egter/Projects/stimuli/pictures/n07697537_2918.JPEG,k
/home/egter/Projects/stimuli/pictures/n01749939_6217.JPEG,k
/home/egter/Projects/stimuli/pictures/n03733281_26495.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-z16pdVTZK1o_3.png,j
/home/egter/Projects/stimuli/pictures/S_production_ID_4802712.png,j
/home/egter/Projects/stimuli/pictures/R_S_yt-8RmEimCI80g_35.png,j
/home/egter/Projects/stimuli/pictures/n03188531_23390.JPEG,k
/home/egter/Projects/stimuli/pictures/S_X-D3lUv-atE_376.png,k
/home/egter/Projects/stimuli/pictures/n03089624_71576.JPEG,k
/home/egter/Projects/stimuli/pictures/n02410509_7709.JPEG,k
/home/egter/Projects/stimuli/pictures/n01737021_16424.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-2ICWjxvgVYU_4.png,j
/home/egter/Projects/stimuli/pictures/R_S_production_ID_4101307.png,j
/home/egter/Projects/stimuli/pictures/n09468604_18775.JPEG,j
/home/egter/Projects/stimuli/pictures/S_wc-7ugQ0V4lxYkJ_131.png,j
/home/egter/Projects/stimuli/pictures/ILSVRC2012_test_00053134.JPEG,j
/home/egter/Projects/stimuli/pictures/n02607072_2187.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_yt-h8wy6x6oytA_25.png,j
/home/egter/Projects/stimuli/pictures/n01914609_246.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_yt-MhW2fU45JK8_544.png,j
/home/egter/Projects/stimuli/pictures/S_wc-dwTccI0TNwps_15.png,j
/home/egter/Projects/stimuli/pictures/R_S_bing-www_dailymotion_com_video_x64c56w_164.png,j
/home/egter/Projects/stimuli/pictures/n03196217_4417.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-Id-f63kUHsE_20.png,j
/home/egter/Projects/stimuli/pictures/ILSVRC2012_test_00021180.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-a4T5fdpRKlQ_125.png,k
/home/egter/Projects/stimuli/pictures/n09193705_49708.JPEG,k
/home/egter/Projects/stimuli/pictures/S_flickr-thelastdon-8662706978_3.png,k
/home/egter/Projects/stimuli/pictures/n03000134_1013.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_yt-RNPFV7lgAvE_362.png,k
/home/egter/Projects/stimuli/pictures/R_S_Pexels_Videos_278654_1.png,j
/home/egter/Projects/stimuli/pictures/R_S_ILSVRC2015_test_00004002.png,j
/home/egter/Projects/stimuli/pictures/n01753488_13882.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_wc-6or3Gl2Fif0m_13.png,j
/home/egter/Projects/stimuli/pictures/S_yt-Ojy5TMPX8_Q_165.png,j
/home/egter/Projects/stimuli/pictures/S_yt-tEzCpMrjOHs_24.png,k
/home/egter/Projects/stimuli/pictures/n03873416_9232.JPEG,k
/home/egter/Projects/stimuli/pictures/n02018795_2073.JPEG,k
/home/egter/Projects/stimuli/pictures/S_ILSVRC2015_train_00538001.png,j
/home/egter/Projects/stimuli/pictures/R_S_yt-FsylDeYfcxU_24.png,j
/home/egter/Projects/stimuli/pictures/n03895866_11329.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-szXWk_X_67Q_10.png,j
/home/egter/Projects/stimuli/pictures/R_S_yt-cBCeq1NQgj0_1129.png,j
/home/egter/Projects/stimuli/pictures/S_yt-ORE2V_VvOpg_67.png,k
/home/egter/Projects/stimuli/pictures/n02108551_6193.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-kXarkCFJLeg_46.png,j
/home/egter/Projects/stimuli/pictures/S_yt-IdhdCU1HQ30_50.png,k
/home/egter/Projects/stimuli/pictures/R_S_yt-Xkx53mjgj2E_30.png,k
/home/egter/Projects/stimuli/pictures/n03721384_27521.JPEG,k
/home/egter/Projects/stimuli/pictures/n03895866_20384.JPEG,k
/home/egter/Projects/stimuli/pictures/n01632458_3672.JPEG,k
/home/egter/Projects/stimuli/pictures/S_ILSVRC2015_test_00001002.png,j
/home/egter/Projects/stimuli/pictures/n04604644_8422.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_Pexels_Videos_2795731.png,j
/home/egter/Projects/stimuli/pictures/R_S_ILSVRC2015_train_00303008.png,j
/home/egter/Projects/stimuli/pictures/S_ILSVRC2015_train_00563000.png,k
/home/egter/Projects/stimuli/pictures/S_bing-www_yahoo_com_entertainment_anastasia-karanikolaou-chantel-jeffries-discuss-182400502_html_9.png,j
/home/egter/Projects/stimuli/pictures/n07579787_11484.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_yt-hQ5pge893b4_6.png,j
/home/egter/Projects/stimuli/pictures/n01675722_10934.JPEG,k
/home/egter/Projects/stimuli/pictures/S_bing-www_dailymotion_com_video_x64c56w_164.png,j
/home/egter/Projects/stimuli/pictures/n02641379_36986.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-oAVThIM5Bhg_241.png,k
/home/egter/Projects/stimuli/pictures/R_S_yt-BLmwmX-mni8_56.png,j
/home/egter/Projects/stimuli/pictures/S_uMYzeAJiua0_199.png,k
/home/egter/Projects/stimuli/pictures/n02089867_7616.JPEG,k
/home/egter/Projects/stimuli/pictures/n01818515_4196.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-EuyfT0PuOoQ_91.png,k
/home/egter/Projects/stimuli/pictures/ILSVRC2012_test_00044615.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_ILSVRC2015_train_00423000.png,k
/home/egter/Projects/stimuli/pictures/n01737021_11018.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_production_ID_3761571.png,j
/home/egter/Projects/stimuli/pictures/n13037406_4960.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_yt-lEPoNlKWibA_1.png,k
/home/egter/Projects/stimuli/pictures/n04044716_20454.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_comp_LA_A011_C003_DGRN_LNFIX_STAB_v57_SDR_PS_20181002_SDR_2K_AVC.png,k
/home/egter/Projects/stimuli/pictures/n09246464_9698.JPEG,k
/home/egter/Projects/stimuli/pictures/n02106382_2012.JPEG,k
/home/egter/Projects/stimuli/pictures/n01729322_5682.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-9t5-3Qe_t9A_591.png,k
/home/egter/Projects/stimuli/pictures/R_S_pexels-c-technical-6809719.png,j
/home/egter/Projects/stimuli/pictures/n02130308_4018.JPEG,k
/home/egter/Projects/stimuli/pictures/n02138441_9212.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-RqWnxg1wT-0_41.png,k
/home/egter/Projects/stimuli/pictures/R_S_ILSVRC2015_train_00538001.png,j
/home/egter/Projects/stimuli/pictures/R_S_yt-kYMffy4hTMo_107.png,j
/home/egter/Projects/stimuli/pictures/n02814533_211.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-Xkx53mjgj2E_30.png,j
/home/egter/Projects/stimuli/pictures/n02114855_15185.JPEG,k
/home/egter/Projects/stimuli/pictures/n07693725_5486.JPEG,k
/home/egter/Projects/stimuli/pictures/n01797886_26429.JPEG,j
/home/egter/Projects/stimuli/pictures/n02077923_9403.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-h8wy6x6oytA_25.png,j
/home/egter/Projects/stimuli/pictures/n01687978_9186.JPEG,k
/home/egter/Projects/stimuli/pictures/S_ILSVRC2015_train_00495000.png,j
/home/egter/Projects/stimuli/pictures/S_yt-Lbv4qHp0RO0_14.png,k
/home/egter/Projects/stimuli/pictures/n01744401_7320.JPEG,k
