trial_nr	onset	event_type	phase	response	nr_frames	picture_index	picture_file	onset_abs	duration
20	28.416895866394043	picture	0		103.0	18.0	/home/egter/Projects/stimuli/pictures/n01773797_2883.JPEG	61.539146900177	0.8610150814056396
20	29.269118785858154	response	0	k		18.0	/home/egter/Projects/stimuli/pictures/n01773797_2883.JPEG	62.39136981964111	
21	29.277910947799683	picture	0		101.0	19.0	/home/egter/Projects/stimuli/pictures/R_S_yt-cokedWwwYYs_136.png	62.40016198158264	0.8473000526428223
21	30.11134696006775	response	0	k		19.0	/home/egter/Projects/stimuli/pictures/R_S_yt-cokedWwwYYs_136.png	63.23359799385071	
22	30.125211000442505	picture	0		246.0	20.0	/home/egter/Projects/stimuli/pictures/S_yt-AKRjrTvvxFc_1804.png	63.247462034225464	2.055506944656372
22	32.16915678977966	response	0	k		20.0	/home/egter/Projects/stimuli/pictures/S_yt-AKRjrTvvxFc_1804.png	65.29140782356262	
23	32.18071794509888	picture	0		88.0	21.0	/home/egter/Projects/stimuli/pictures/R_S_bing-www_yahoo_com_entertainment_anastasia-karanikolaou-chantel-jeffries-discuss-182400502_html_9.png	65.30296897888184	0.7361350059509277
23	32.90298080444336	response	0	j		21.0	/home/egter/Projects/stimuli/pictures/R_S_bing-www_yahoo_com_entertainment_anastasia-karanikolaou-chantel-jeffries-discuss-182400502_html_9.png	66.02523183822632	
24	32.916852951049805	picture	0		86.0	22.0	/home/egter/Projects/stimuli/pictures/S_yt-BiBS8EO5GPc_4.png	66.03910398483276	0.7221529483795166
24	33.627442836761475	response	0	j		22.0	/home/egter/Projects/stimuli/pictures/S_yt-BiBS8EO5GPc_4.png	66.74969387054443	
25	33.63900589942932	picture	0		226.0	23.0	/home/egter/Projects/stimuli/pictures/S_uMYzeAJiua0_199.png	66.76125693321228	1.8819010257720947
25	35.50397086143494	response	0	k		23.0	/home/egter/Projects/stimuli/pictures/S_uMYzeAJiua0_199.png	68.6262218952179	
26	35.520906925201416	picture	0		174.0	24.0	/home/egter/Projects/stimuli/pictures/S_yt-kINZMjys3O4_112.png	68.64315795898438	1.4514009952545166
26	36.96078181266785	response	0	k		24.0	/home/egter/Projects/stimuli/pictures/S_yt-kINZMjys3O4_112.png	70.0830328464508	
27	36.97230792045593	picture	0		90.0	25.0	/home/egter/Projects/stimuli/pictures/S_yt-kiEFK7bDssE_14.png	70.09455895423889	0.7500569820404053
27	37.70394682884216	response	0	j		25.0	/home/egter/Projects/stimuli/pictures/S_yt-kiEFK7bDssE_14.png	70.82619786262512	
28	37.72236490249634	picture	0		79.0	26.0	/home/egter/Projects/stimuli/pictures/S_yt-UBqUhu-GEVg_6.png	70.8446159362793	0.6596410274505615
28	38.368987798690796	response	0	j		26.0	/home/egter/Projects/stimuli/pictures/S_yt-UBqUhu-GEVg_6.png	71.49123883247375	
29	38.3820059299469	picture	0		119.0	27.0	/home/egter/Projects/stimuli/pictures/S_yt--jzScB82vKI_90.png	71.50425696372986	0.9931130409240723
29	39.36126184463501	response	0	j		27.0	/home/egter/Projects/stimuli/pictures/S_yt--jzScB82vKI_90.png	72.48351287841797	
30	39.37511897087097	picture	0		84.0	28.0	/home/egter/Projects/stimuli/pictures/S_production_ID_4057155.png	72.49737000465393	0.7083380222320557
30	40.06956887245178	response	0	j		28.0	/home/egter/Projects/stimuli/pictures/S_production_ID_4057155.png	73.19181990623474	
31	40.08345699310303	picture	0		107.0	29.0	/home/egter/Projects/stimuli/pictures/S_yt-pO5SVq-9EhU_114.png	73.20570802688599	0.8957347869873047
31	40.96909284591675	response	0	j		29.0	/home/egter/Projects/stimuli/pictures/S_yt-pO5SVq-9EhU_114.png	74.0913438796997	
32	40.97919178009033	picture	0		123.0	30.0	/home/egter/Projects/stimuli/pictures/S_yt-G40PW6hfb2c_5.png	74.10144281387329	1.0277760028839111
32	41.99405097961426	response	0	k		30.0	/home/egter/Projects/stimuli/pictures/S_yt-G40PW6hfb2c_5.png	75.11630201339722	
33	42.00696778297424	picture	0		105.0	31.0	/home/egter/Projects/stimuli/pictures/n03764736_10366.JPEG	75.1292188167572	0.8818871974945068
33	42.87737679481506	response	0	k		31.0	/home/egter/Projects/stimuli/pictures/n03764736_10366.JPEG	75.99962782859802	
34	42.88885498046875	picture	0		95.0	32.0	/home/egter/Projects/stimuli/pictures/S_yt-VgJZl9SddCQ_8.png	76.01110601425171	0.7917299270629883
34	43.669020891189575	response	0	k		32.0	/home/egter/Projects/stimuli/pictures/S_yt-VgJZl9SddCQ_8.png	76.79127192497253	
35	43.68058490753174	picture	0		113.0	33.0	/home/egter/Projects/stimuli/pictures/S_yt-fja6A_3ys_w_116.png	76.8028359413147	0.9446289539337158
35	44.61121892929077	response	0	j		33.0	/home/egter/Projects/stimuli/pictures/S_yt-fja6A_3ys_w_116.png	77.73346996307373	
36	44.625213861465454	picture	0		73.0	34.0	/home/egter/Projects/stimuli/pictures/R_S_g201_AK_A003_C014_SDR_20191113_SDR_2K_AVC.png	77.74746489524841	0.6108160018920898
36	45.227362871170044	response	0	j		34.0	/home/egter/Projects/stimuli/pictures/R_S_g201_AK_A003_C014_SDR_20191113_SDR_2K_AVC.png	78.349613904953	
37	45.236029863357544	picture	0		156.0	35.0	/home/egter/Projects/stimuli/pictures/n01756291_7815.JPEG	78.3582808971405	1.3056230545043945
37	46.527854919433594	response	0	k		35.0	/home/egter/Projects/stimuli/pictures/n01756291_7815.JPEG	79.65010595321655	
38	46.54165291786194	picture	0		357.0	36.0	/home/egter/Projects/stimuli/pictures/R_S_yt-kA0ybjmoiMc_284.png	79.6639039516449	2.9791300296783447
38	49.503856897354126	response	0	k		36.0	/home/egter/Projects/stimuli/pictures/R_S_yt-kA0ybjmoiMc_284.png	82.62610793113708	
39	49.52078294754028	picture	0		112.0	37.0	/home/egter/Projects/stimuli/pictures/n02443114_19873.JPEG	82.64303398132324	0.9376888275146484
39	50.4444580078125	response	0	k		37.0	/home/egter/Projects/stimuli/pictures/n02443114_19873.JPEG	83.56670904159546	
40	50.45847177505493	picture	0		73.0	38.0	/home/egter/Projects/stimuli/pictures/n03478589_9338.JPEG	83.58072280883789	0.610875129699707
40	51.06068181991577	response	0	k		38.0	/home/egter/Projects/stimuli/pictures/n03478589_9338.JPEG	84.18293285369873	
41	51.06934690475464	picture	0		138.0	39.0	/home/egter/Projects/stimuli/pictures/R_S_comp_GMT329_113NC_396B_1105_ITALY_v03_SDR_FINAL_20180706_SDR_2K_AVC.png	84.1915979385376	1.1527609825134277
41	52.21073389053345	response	0	k		39.0	/home/egter/Projects/stimuli/pictures/R_S_comp_GMT329_113NC_396B_1105_ITALY_v03_SDR_FINAL_20180706_SDR_2K_AVC.png	85.3329849243164	
42	52.222107887268066	picture	0		88.0	40.0	/home/egter/Projects/stimuli/pictures/n02058221_203.JPEG	85.34435892105103	0.7361209392547607
42	52.944435834884644	response	0	k		40.0	/home/egter/Projects/stimuli/pictures/n02058221_203.JPEG	86.0666868686676	
43	52.95822882652283	picture	0		74.0	41.0	/home/egter/Projects/stimuli/pictures/n02268853_852.JPEG	86.08047986030579	0.6251399517059326
43	53.569424867630005	response	0	k		41.0	/home/egter/Projects/stimuli/pictures/n02268853_852.JPEG	86.69167590141296	
44	53.58336877822876	picture	0		305.0	42.0	/home/egter/Projects/stimuli/pictures/ILSVRC2012_test_00028394.JPEG	86.70561981201172	2.54856014251709
44	56.11263585090637	response	0	k		42.0	/home/egter/Projects/stimuli/pictures/ILSVRC2012_test_00028394.JPEG	89.23488688468933	
45	56.13192892074585	picture	0		104.0	43.0	/home/egter/Projects/stimuli/pictures/n02115913_3938.JPEG	89.25417995452881	0.8680319786071777
45	56.986061811447144	response	0	k		43.0	/home/egter/Projects/stimuli/pictures/n02115913_3938.JPEG	90.1083128452301	
46	56.99996089935303	picture	0		95.0	44.0	/home/egter/Projects/stimuli/pictures/n13040303_2937.JPEG	90.12221193313599	0.798753023147583
46	57.7856228351593	response	0	k		44.0	/home/egter/Projects/stimuli/pictures/n13040303_2937.JPEG	90.90787386894226	
