trial_nr	onset	event_type	phase	response	nr_frames	picture_index	picture_file	onset_abs	duration
0	0.018211841583251953	stim	0		1300.0			33.26033091545105	10.845598936080933
0	3.2724437713623047	response	0	j				36.5145628452301	
0	10.847258806228638	response	0	space				44.089377880096436	
2	10.863810777664185	picture	0		324.0	0.0	/home/egter/Projects/stimuli/pictures/n12985857_4626.JPEG	44.10592985153198	2.7083330154418945
2	13.555621862411499	response	0	k		0.0	/home/egter/Projects/stimuli/pictures/n12985857_4626.JPEG	46.7977409362793	
3	13.572143793106079	picture	0		87.0	1.0	/home/egter/Projects/stimuli/pictures/n02607072_2187.JPEG	46.81426286697388	0.7333481311798096
3	14.289381980895996	response	0	k		1.0	/home/egter/Projects/stimuli/pictures/n02607072_2187.JPEG	47.531501054763794	
4	14.305491924285889	picture	0		130.0	2.0	/home/egter/Projects/stimuli/pictures/S_yt-q8mfIumbHuo_84.png	47.54761099815369	1.0878410339355469
4	15.38058876991272	response	0	k		2.0	/home/egter/Projects/stimuli/pictures/S_yt-q8mfIumbHuo_84.png	48.62270784378052	
5	15.393332958221436	picture	0		102.0	3.0	/home/egter/Projects/stimuli/pictures/R_S_yt-gikcYT6ZLzA_7.png	48.63545203208923	0.8538179397583008
5	16.23057794570923	response	0	j		3.0	/home/egter/Projects/stimuli/pictures/R_S_yt-gikcYT6ZLzA_7.png	49.472697019577026	
6	16.247150897979736	picture	0		149.0	4.0	/home/egter/Projects/stimuli/pictures/n01665541_21853.JPEG	49.489269971847534	1.2499260902404785
6	17.480552911758423	response	0	k		4.0	/home/egter/Projects/stimuli/pictures/n01665541_21853.JPEG	50.72267198562622	
7	17.497076988220215	picture	0		121.0	5.0	/home/egter/Projects/stimuli/pictures/ILSVRC2012_test_00053134.JPEG	50.73919606208801	1.0166850090026855
7	18.497545957565308	response	0	k		5.0	/home/egter/Projects/stimuli/pictures/ILSVRC2012_test_00053134.JPEG	51.739665031433105	
8	18.5137619972229	picture	0		117.0	6.0	/home/egter/Projects/stimuli/pictures/S_yt-MXCxHM_Ms8A_15.png	51.7558810710907	0.9767379760742188
8	19.48062777519226	response	0	k		6.0	/home/egter/Projects/stimuli/pictures/S_yt-MXCxHM_Ms8A_15.png	52.72274684906006	
9	19.49049997329712	picture	0		147.0	7.0	/home/egter/Projects/stimuli/pictures/R_S_pexels-c-technical-6754008.png	52.73261904716492	1.2315809726715088
9	20.70588779449463	response	0	j		7.0	/home/egter/Projects/stimuli/pictures/R_S_pexels-c-technical-6754008.png	53.94800686836243	
10	20.722080945968628	picture	0		153.0	8.0	/home/egter/Projects/stimuli/pictures/S_yt-Co4dzHwupRM_18.png	53.964200019836426	1.283383846282959
10	21.98890495300293	response	0	j		8.0	/home/egter/Projects/stimuli/pictures/S_yt-Co4dzHwupRM_18.png	55.23102402687073	
11	22.005464792251587	picture	0		124.0	9.0	/home/egter/Projects/stimuli/pictures/S_G5lrDxJJzfI_2.png	55.247583866119385	1.0336921215057373
11	23.03057289123535	response	0	k		9.0	/home/egter/Projects/stimuli/pictures/S_G5lrDxJJzfI_2.png	56.27269196510315	
12	23.039156913757324	picture	0		110.0	10.0	/home/egter/Projects/stimuli/pictures/R_S_ILSVRC2015_train_00322000.png	56.28127598762512	0.9166228771209717
12	23.94721794128418	response	0	j		10.0	/home/egter/Projects/stimuli/pictures/R_S_ILSVRC2015_train_00322000.png	57.18933701515198	
13	23.955779790878296	picture	0		107.0	11.0	/home/egter/Projects/stimuli/pictures/R_S_yt-wjBwgccZM5k_150.png	57.197898864746094	0.8957850933074951
13	24.832376956939697	response	0	j		11.0	/home/egter/Projects/stimuli/pictures/R_S_yt-wjBwgccZM5k_150.png	58.074496030807495	
14	24.85156488418579	picture	0		133.0	12.0	/home/egter/Projects/stimuli/pictures/n04037443_34549.JPEG	58.09368395805359	1.1041250228881836
14	25.947207927703857	response	0	k		12.0	/home/egter/Projects/stimuli/pictures/n04037443_34549.JPEG	59.189327001571655	
15	25.955689907073975	picture	0		143.0	13.0	/home/egter/Projects/stimuli/pictures/S_ILSVRC2015_train_00446000.png	59.19780898094177	1.1945018768310547
15	27.138890981674194	response	0	j		13.0	/home/egter/Projects/stimuli/pictures/S_ILSVRC2015_train_00446000.png	60.38101005554199	
16	27.15019178390503	picture	0		133.0	14.0	/home/egter/Projects/stimuli/pictures/S_yt-EAMpitsjbbA_153.png	60.39231085777283	1.1110970973968506
16	28.24031090736389	response	0	j		14.0	/home/egter/Projects/stimuli/pictures/S_yt-EAMpitsjbbA_153.png	61.48242998123169	
17	28.26128888130188	picture	0		130.0	15.0	/home/egter/Projects/stimuli/pictures/R_S_yt-2ftSsLqRQnA_84.png	61.50340795516968	1.094109058380127
17	29.338884830474854	response	0	j		15.0	/home/egter/Projects/stimuli/pictures/R_S_yt-2ftSsLqRQnA_84.png	62.58100390434265	
18	29.355397939682007	picture	0		120.0	16.0	/home/egter/Projects/stimuli/pictures/R_S_video-5.png	62.597517013549805	1.0083260536193848
18	30.347205877304077	response	0	j		16.0	/home/egter/Projects/stimuli/pictures/R_S_video-5.png	63.589324951171875	
19	30.36372399330139	picture	0		201.0	17.0	/home/egter/Projects/stimuli/pictures/n03777568_5257.JPEG	63.60584306716919	1.6752679347991943
19	32.030542850494385	response	0	k		17.0	/home/egter/Projects/stimuli/pictures/n03777568_5257.JPEG	65.27266192436218	
20	32.038991928100586	picture	0		122.0	18.0	/home/egter/Projects/stimuli/pictures/S_yt-yJmHtBFyhH4_15.png	65.28111100196838	1.0208680629730225
20	33.04067277908325	response	0	j		18.0	/home/egter/Projects/stimuli/pictures/S_yt-yJmHtBFyhH4_15.png	66.28279185295105	
21	33.05985999107361	picture	0		172.0	19.0	/home/egter/Projects/stimuli/pictures/n02027492_526.JPEG	66.3019790649414	1.437431812286377
21	34.4888699054718	response	0	k		19.0	/home/egter/Projects/stimuli/pictures/n02027492_526.JPEG	67.7309889793396	
22	34.497291803359985	picture	0		108.0	20.0	/home/egter/Projects/stimuli/pictures/n02279972_1491.JPEG	67.73941087722778	0.9080991744995117
22	35.38887882232666	response	0	k		20.0	/home/egter/Projects/stimuli/pictures/n02279972_1491.JPEG	68.63099789619446	
23	35.4053909778595	picture	0		91.0	21.0	/home/egter/Projects/stimuli/pictures/S_yt-gaCbT4RR9Tw_191.png	68.6475100517273	0.766638994216919
23	36.15551686286926	response	0	j		21.0	/home/egter/Projects/stimuli/pictures/S_yt-gaCbT4RR9Tw_191.png	69.39763593673706	
24	36.172029972076416	picture	0		143.0	22.0	/home/egter/Projects/stimuli/pictures/n04311174_342.JPEG	69.41414904594421	1.1999588012695312
24	37.35546588897705	response	0	k		22.0	/home/egter/Projects/stimuli/pictures/n04311174_342.JPEG	70.59758496284485	
25	37.37198877334595	picture	0		109.0	23.0	/home/egter/Projects/stimuli/pictures/S_nvbAwZOKBS8_23.png	70.61410784721375	0.9167351722717285
25	38.265387773513794	response	0	j		23.0	/home/egter/Projects/stimuli/pictures/S_nvbAwZOKBS8_23.png	71.50750684738159	
26	38.288723945617676	picture	0		127.0	24.0	/home/egter/Projects/stimuli/pictures/R_S_yt-2pRKCSgdXXU_30.png	71.53084301948547	1.0627338886260986
26	39.3388237953186	response	0	j		24.0	/home/egter/Projects/stimuli/pictures/R_S_yt-2pRKCSgdXXU_30.png	72.5809428691864	
27	39.351457834243774	picture	0		122.0	25.0	/home/egter/Projects/stimuli/pictures/S_yt-Lbv4qHp0RO0_14.png	72.59357690811157	1.0138931274414062
27	40.35551881790161	response	0	k		25.0	/home/egter/Projects/stimuli/pictures/S_yt-Lbv4qHp0RO0_14.png	73.59763789176941	
28	40.36535096168518	picture	0		126.0	26.0	/home/egter/Projects/stimuli/pictures/S_yt-dO0OuozAgt0_225.png	73.60747003555298	1.0485219955444336
28	41.405478954315186	response	0	j		26.0	/home/egter/Projects/stimuli/pictures/S_yt-dO0OuozAgt0_225.png	74.64759802818298	
